,word,F_true,F_negative,power_n,F_positive,power_p,pred_n,pred_p
5952,пофиг,0.0005196919958771101,0.0006082624154653484,1.1704286775453479,0.0004513353639790772,0.8684670296246068,0.0005091244353442574,0.00102888811091426
5953,обновлять,0.0015071067880436195,0.0013879442389254767,0.920932909291167,0.001430318834639008,0.9490494276757321,8.443119763606468e-05,0.0010663522969365936
5954,привет,0.001505869426148674,0.0015372450136306077,1.020835529918539,0.001458663567642525,0.9686520904890937,0.0001934237508102619,0.0010972632149929087
5955,категории,0.006882206859686873,0.005037518731717567,0.7319627024327433,0.007162495993581008,1.0407266360353034,-0.0026566530871810273,0.0016921583136195505
5956,оптимален,0.00019426581750644356,8.847453315859614e-05,0.4554302671166611,0.00022021677179655458,1.13358476865983,0.0004594029107427131,0.001112360677507605
5957,продолжительного,0.00012744827517938655,0.00018247872463960453,1.4317865375797458,9.593601939651883e-05,0.7527447449680001,0.0005940663142455956,0.0010490710889732723
5958,отличных,0.0003489360543746311,0.0002488346245085516,0.7131238557578038,0.00038810480574046253,1.1122519466669338,0.0004204697311744629,0.001133449196364453
5959,скидками,0.00017323066529237004,0.0001327117997378942,0.766098770756955,0.00019623276694742488,1.1327830821190523,0.000512365527039528,0.0011082874360466735
5960,обычную,0.0006558018043211153,0.001177817222673811,1.795995703142484,0.0005058444659089174,0.7713374110529729,0.0007840807269655474,0.0009498428335498119
5961,коем,0.001488546359619437,0.004490082557798754,3.0164210397496065,0.0005298284707580472,0.3559368287955127,0.002341905044862485,0.0001422066719264951
5962,новогодних,0.00016828121771258805,0.00012165248309306968,0.7229118302485972,0.00017224876209829518,1.0235768699539802,0.0005093331085986246,0.0010881284899514503
5963,круглосуточный,0.0003081031118414296,0.00014930077470513096,0.48458054776795334,0.0003161527911930734,1.026126575948985,0.00038946587952149635,0.0010989569578726392
5964,обеды,0.00019550317940138906,0.0001327117997378942,0.6788216956074284,0.00018533094656145684,0.9479689646425261,0.0004900930129305089,0.0010746020157217432
5965,закрывать,0.0009849400683766183,0.0013547662889910033,1.3754809378645076,0.0008089150726388292,0.8212835466954714,0.0005826523192410098,0.0009379833622966455
5966,низ,0.0011099136197661138,0.0013437069723461787,1.2106410340557232,0.0007892917959440867,0.7111290301225514,0.00044969690183082884,0.0007924665797185094
5967,тормозил,0.0012051904856769174,0.0013326476557013543,1.1057568671004303,0.0010770998541336431,0.8937175217813558,0.00034643816989934017,0.0009984904379077666
5968,планах,0.00018312956045193405,0.00018247872463960453,0.9964460362886071,0.000178789854329876,0.9763025362407447,0.000538385028973048,0.0010801278909416514
5969,талоны,0.00010517576107036753,9.953384980342065e-05,0.9463573050527091,7.631274270177634e-05,0.7255734774357327,0.0005564748331994744,0.0010508003718936506
5970,целиком,0.0007659270129712647,0.000984279181389382,1.2850822137360878,0.0006497484950036957,0.8483164635793728,0.0005342728629534046,0.0009903679869496928
5971,негативный,0.00027716906446779207,0.0004644912990826297,1.675841061030839,0.00023984004849129709,0.8653204099520538,0.000647883108484666,0.001050000661734897
5972,ребят,0.0009168851641546158,0.001155698589384162,1.2604616527411439,0.0009070314561125417,0.9892530619675155,0.0005070336350906763,0.0011087544224618506
5973,такому,0.0006953973849593712,0.0010008681563566187,1.4392751224037097,0.0005843375726878874,0.8402930257237414,0.000616775289996326,0.0009924201776661179
5974,секунду,0.0011408476671397514,0.0011280502977721006,0.9887825783088681,0.001223184247305615,1.0721714059969916,0.0002631164670538271,0.0012157661997381454
5975,видя,0.00017941747476709756,0.0002598939411533761,1.4485430780404491,0.0001504451213263591,0.8385198906720341,0.0005979701768026818,0.001054166420465118
5976,удобств,0.0002982042166818656,0.00034283881598956,1.1496779616477124,0.0002420204125684907,0.8115928582817,0.0005390474300430539,0.0010312480907640057
5977,проходить,0.0011099136197661138,0.0009898088397117942,0.8917890744690307,0.0012602504366179064,1.1354491143945709,0.00019427718916889807,0.0012855041282458818
5978,посмотрев,0.0005345403386164562,0.0005695548072084626,1.0655038844825704,0.0005886983008422746,1.101316885393523,0.00046633956153251273,0.0011578423864953974
5979,увидела,0.001538040835417257,0.001907732121232229,1.2403650652842895,0.001430318834639008,0.9299615469903795,0.00042864485323463827,0.0010354182495629562
5980,желтые,0.00023757348382953607,0.0004866099323722787,2.0482501857043585,8.72145630877444e-05,0.36710562846450767,0.0007034424211642929,0.0009298155553503937
5981,черные,0.0006421908234767147,0.0010506350812583291,1.6360169638836708,0.0004491549999018836,0.699410492149721,0.0007059002485720665,0.0009041067020714732
5982,сломана,0.00014105925602378704,0.0003704871076016213,2.626464352960613,5.2328737852646635e-05,0.3709698982378183,0.0007161470557528458,0.0009898084832652262
5983,изнутри,0.0004862832247135817,0.0007520335318480671,1.5464928536060667,0.0003292349756562351,0.6770436628780538,0.0006462974647766955,0.0009344723324595809
5984,помощи,0.0012670585804241924,0.0014211221888599504,1.1215915434503272,0.0011643144172213877,0.9189112762502208,0.0003484250033175479,0.001027925592887783
5985,потолке,0.00018189219855698855,0.0004091947158585071,2.2496551204767727,6.759128639300191e-05,0.3716007994252976,0.0007032506442920429,0.0009649536094343006
5986,держится,0.004087006339004988,0.0027980071111406027,0.6846104162935549,0.004328022693229315,1.0589713678503871,-0.001477780435687923,0.0015200032181644733
5987,отвратительно,0.0011222872387155688,0.003870760825688581,3.448992995873833,0.00018751131063865045,0.16707960686896228,0.002261179668607974,0.00015010053765074556
5988,лампочка,0.0002883053215223016,0.0004091947158585071,1.4193103120604529,0.00020277385917900572,0.7033302684401554,0.0005968375213267299,0.0010000605235462889
5989,книжку,0.0008772895835163598,0.0009068639648756103,1.0337110823095725,0.0008001936163300547,0.9121202751806441,0.0003670372302635119,0.001036503522184175
5990,температура,0.001674150643861262,0.0016644271550460897,0.9941919869332989,0.0016330926938180137,0.9754753551039158,0.00011693399233555558,0.0011115884967349032
5991,регулируется,0.0005258788053518376,0.0005363768572739891,1.0199628732234753,0.0004447942717474964,0.8458113679822257,0.0004510554967350752,0.0010158535577099856
5992,плинтуса,0.00012126146570465904,0.0003981353992136826,3.2832804461012355,1.9623276694742488e-05,0.16182615458843602,0.0007558995111236871,0.00097536755493662
5993,новенькое,0.0003006789404717566,0.00022671599121890258,0.7540135363760153,0.00032269388342465427,1.073217442227104,0.00045276311303596683,0.001113228872971859
5994,аккуратное,0.00014353397981367805,0.00021012701625166581,1.4639531107855603,0.00011992002424564854,0.8354817751261209,0.0005979352746630173,0.0010580937780139859
5995,бегите,0.00017323066529237004,0.0003483684743119723,2.011009273237007,0.00012864148055442297,0.7426022427224899,0.0006680119144428921,0.0010375274175080228
5996,приличное,0.0006817864041149707,0.0006469700237222342,0.9489335953568453,0.0006693717716984382,0.9817910237845707,0.0003749665581787956,0.0010950518269946274
5997,подавали,0.00016085704634291506,0.00017694906631719227,1.1000392605740892,0.00011337893201406771,0.7048428066518547,0.0005566666100717242,0.001033922967755202
5998,туроператора,0.00011012520865014953,0.0001437711163827187,1.3055241224509906,7.195201454738912e-05,0.6533655230199777,0.0005834528497024338,0.0010412857618275044
5999,претензия,0.0015343287497324204,0.0009068639648756103,0.5910493204495862,0.0019252614801619574,1.2547907223257817,-0.00029000193595254877,0.0015572762774501698
6000,порой,0.0024821479612606736,0.00372146005098345,1.499290174906952,0.0016396337860495945,0.6605705266727253,0.0007935637547836173,0.0003104389230650386
6001,тумбочки,0.0002994415785768111,0.0003704871076016213,1.2372600670971483,0.00020277385917900572,0.6771733576303977,0.0005577647331998217,0.0009889242664917793
6002,угодить,0.00017818011287215206,0.00012718214141548193,0.7137841556242461,0.0002223971358737482,1.248159136779326,0.0005034251464494032,0.0011307289633850789
6003,держатель,0.00045163709165510767,0.0004755506157274542,1.052948538802938,0.0003815637135088817,0.8448458298909217,0.00048139694731803585,0.0010239004153544296
6004,обошлась,0.0003006789404717566,0.0003041312077326742,1.0114815731873377,0.0002660044174176204,0.884679242916937,0.0005086361751807642,0.0010538817606491199
6005,белоснежные,0.00014972078928840554,3.8707608256885805e-05,0.2585319543188071,0.00016788803394390795,1.1213408287643143,0.00046802954186766707,0.0011021237558892685
6006,мелковат,0.00015343287497324206,0.00013824145806030645,0.9009898177585155,0.00014172366501758463,0.9236851296848901,0.0005361542503689986,0.0010710206952862446
6007,вовсе,0.002448739190097145,0.0044016080246401575,1.7974997265697124,0.001681060703516273,0.6865005102685448,0.001317857286219294,0.00038721673784902983
6008,делается,0.0009304961449990163,0.0009676902064221452,1.039972289646797,0.0008677849027230567,0.9326045114608982,0.00035773093189462473,0.001054056979240169
6009,облегчает,0.00015467023686818756,0.00011059316644824516,0.7150255193731578,0.0001744291261754888,1.1277484906429676,0.0005149622234223398,0.0011040220520390333
6010,спец,0.0007139578133835537,0.0006690886570118832,0.9371543310675056,0.0006824539561615998,0.9558743435096643,0.0003587588809515832,0.001076575905185138
6011,переплачивать,0.0027481807686739563,0.0016478381800788529,0.5996105492267026,0.0033773839555729015,1.2289526198826237,-0.0009690689315081666,0.0018636233664680313
6012,базы,0.00010641312296531303,7.188555819135935e-05,0.6755328308031289,9.593601939651883e-05,0.901543124787256,0.0005352828062528156,0.0010701062411873456
6013,нечего,0.003222090374438083,0.003975824333814414,1.2339270075588051,0.0028868020382043394,0.8959407411742086,0.00023720426008197112,0.000876132980987892
6014,объяснили,0.0005023689293478732,0.0008294487483618387,1.651074936976196,0.0003401367960422031,0.6770657502320772,0.0006860848222872012,0.0009297995340412008
6015,фена,0.0002635580836233916,0.0004755506157274542,1.8043484350378987,0.00012428075240003577,0.4715497650135648,0.0006694759553497519,0.0009426348366906368
6016,отельчик,0.0003687338446937591,0.00021565667457407807,0.5848572830443196,0.0003008902426527182,0.8160092895801675,0.0003767263427932789,0.0010223481563180338
6017,приветливым,0.00017446802718731555,8.294487483618387e-05,0.4754159038385358,0.0001548058494807463,0.8873021147567675,0.00047520976805149836,0.001063681030531265
6018,сломалась,0.0008624412407770138,0.0021289184541287195,2.4684794203610636,0.00036630116496852644,0.42472593801116065,0.001263881768288588,0.0005971181975302474
6019,подход,0.0004367887489157616,0.00045343198243780517,1.0381036223193865,0.00043171208728433476,0.9883773067780967,0.0004802815580160112,0.001091248126686968
6020,окну,0.00010146367538553103,0.0001990676996068413,1.9619602665726896,5.450910192984024e-05,0.5372277489724502,0.0006320237130704791,0.0010316866451466644
6021,следующей,0.0006706501470604612,0.0007409742152032426,1.1048595433118447,0.0005538124756071769,0.8257844690478372,0.00045394867640913045,0.0009852112781604761
6022,знать,0.0031713585367453175,0.0032624984102232325,1.02873843257453,0.0031811511886254765,1.0030878413041904,-0.00022689426055946815,0.0012350132865102652
6023,дружелюбным,0.00016456913202775154,7.741521651377161e-05,0.47041152590339336,0.00015262548540355268,0.9274247455945457,0.00048111773020071975,0.0010712973444476463
6024,убитый,0.00011259993244004054,0.00018247872463960453,1.6205935535243277,7.849310677896995e-05,0.6970972813040321,0.0006089146569849415,0.00104565878176716
6025,ветчина,0.0003489360543746311,0.00022671599121890258,0.6497350685793324,0.0003161527911930734,0.9060479340826146,0.00040450599913309233,0.0010581240153394377
6026,вареные,0.0002821185120475741,0.00025436428283096387,0.9016220913148373,0.00018315058248426322,0.649197321916182,0.0004912782065118627,0.0009857041018323759
6027,сплошные,0.0005469139575659112,0.0010948723478376272,2.001909683765346,0.0003553993445825584,0.649826795725409,0.0008331045785656114,0.0009012325745254387
6028,словно,0.0006001205190485677,0.0009621605480997329,1.6032788707594006,0.0004905819173685622,0.8174723273024088,0.0006841156248347308,0.0009895460501200834
6029,тесный,0.00023881084572448157,0.0004866099323722787,2.0376374904416417,8.503419901055078e-05,0.35607343859355356,0.0007022050592693474,0.0009262956122122657
6030,издает,0.00019426581750644356,0.0003760167659240336,1.9355786352458098,8.285383493335717e-05,0.42649723969379744,0.0006669314272805319,0.0009685580591871216
6031,громкий,0.009037691280681935,0.004960103515203796,0.5488241809947655,0.010136512594873092,1.1215820810940829,-0.004868010570320886,0.002650114708325116
6032,отметили,0.00013239772275916854,0.00012165248309306968,0.9188412048019553,0.00013736293686319743,1.0375022621277301,0.0005452166035520441,0.0010874906850139535
6033,удачном,0.00011754938001982253,3.317794993447355e-05,0.282246915542036,0.00010901820385968048,0.9274247455945457,0.0004962100181259073,0.00107266547159193
6034,боком,0.0003353250735302306,0.00041472437418091937,1.2367830708714678,0.00025074186887726513,0.7477575900826873,0.0005538087023291437,0.00100325755888837
6035,замечательной,0.00016828121771258805,0.0001327117997378942,0.7886310875439242,0.00018751131063865045,1.1142735546334468,0.00051731497461931,0.0011041065586537262
6036,покажет,0.0008822390310961418,0.0007022666069463568,0.7960049172544799,0.0008590634464142822,0.9737309460758442,0.00021442326130105126,0.0010931837681703144
6037,попал,0.0013140783324321213,0.0018137279297512207,1.3802281682815196,0.0010836409463652241,0.8246395360310071,0.0005847614950439484,0.0008964503348821097
6038,анна,0.00013982189412884154,7.188555819135935e-05,0.514122331407691,0.00018751131063865045,1.3410725967269803,0.0005018740350892871,0.0011325658822374728
6039,владельцем,0.00044668764407532565,0.0005197878823067523,1.1636495640768152,0.0004578764562106581,1.0250484030255504,0.0005182738589805593,0.0011087402064455913
6040,согласился,0.0003835821874331051,0.0009234529398428472,2.407444793050754,0.00017224876209829518,0.4490530784314236,0.0008727174253777948,0.0008728275202309334
6041,спасти,0.00014477134170862356,0.00030966086605508644,2.1389652288940617,8.9394927164938e-05,0.6174904930069667,0.0006685347069542399,0.0010249002787144884
6042,простую,0.0003501734162695766,0.0007077962652687691,2.0212735529983266,0.00019623276694742488,0.5603873904475877,0.000750479809137959,0.000931344685069467
6043,забуду,0.00013239772275916854,0.00016588974967236773,1.2529652792753936,0.00014608439317197186,1.1033754216279035,0.0005771440676347855,0.0010966210099866826
6044,средненько,0.00019302845561149806,0.0003151905243774987,1.6328707774146636,0.00010247711162809966,0.5308912165486727,0.000624268526061708,0.0009903386522707076
6045,комплект,0.004246626023452957,0.0023501047870252098,0.5534051677840766,0.005099871576555853,1.2009231678020746,-0.001960665693973649,0.0021684172938030303
6046,кроватях,0.00013858453223389603,0.00021012701625166581,1.5162371504564733,9.593601939651883e-05,0.692256327961643,0.0006028847222427993,0.0010379348319187627
6047,зависят,0.00010765048486025854,6.082624154653484e-05,0.5650345339874092,7.413237862458274e-05,0.6886395237403179,0.0005260635783371848,0.0010460430668605774
6048,сезона,0.00019674054129633457,0.00013824145806030645,0.7026587257990938,0.0001809702184070696,0.9198420275488041,0.0004928465840459062,0.0010687994913404332
6049,итп,0.0002957294928919746,0.00025436428283096387,0.8601248402501377,0.00027036514557200763,0.9142312554898535,0.0004776672256674622,0.0010633963707152665
6050,оптимальная,0.0002796437882576831,0.00010506350812583291,0.3757047806440819,0.00027472587372639486,0.9824136464395322,0.0003859977390225015,0.0010840472378359225
6051,опозданием,0.00012621091328444105,0.00025436428283096387,2.015390557056695,7.195201454738912e-05,0.5700934465566472,0.0006471858052749958,0.0010252000571932128
6052,аренду,0.00023509876003964506,0.0001880083829620168,0.7996995940357688,0.0001984131310246185,0.8439565184910367,0.0004904067623956797,0.0010487019225425807
6053,зная,0.0008154214887690848,0.0013768849222806523,1.688556091842909,0.0006039608493826299,0.7406732072934893,0.000768134630889914,0.000892939305045045
6054,дождалась,0.00037492065416848663,0.0011114613228048638,2.964524121163464,0.00013736293686319743,0.3663786866259641,0.0010170706809940638,0.0008449677536046354
6055,встретила,0.00017570538908226105,0.00021565667457407807,1.227376551740896,0.00014608439317197186,0.8314166909449695,0.000569754798404777,0.00105331334366359
6056,годовалый,0.00010270103728047654,9.953384980342065e-05,0.9691610955359069,0.00010465747570529327,1.0190498409424404,0.0005589495569893654,0.0010829486518449112
6057,обошёлся,0.00032790090216055763,0.0003041312077326742,0.9275095180548037,0.00034449752419659036,1.05061474953767,0.00048141421349196314,0.0011088327237148811
6058,сайтах,0.0007572654797066463,0.0008405080650066633,1.1099252343210784,0.0007020772328563423,0.9271216656123252,0.0004391701379491136,0.0010538114700506859
6059,рискнула,0.00016580649392269704,0.00016036009134995548,0.9671520551222752,0.000178789854329876,1.0783042937584344,0.0005397443634609143,0.0010974509574708882
6060,вменяемые,0.0003241888164757211,0.00021565667457407807,0.6652193524702567,0.0003292349756562351,1.0155654943170807,0.0004212713710113169,0.0010965667406974415
6061,спасало,0.00012868563707433203,0.00018247872463960453,1.418019359333787,8.067347085616357e-05,0.6269034578393902,0.00059282895235065,0.0010318556583760509
6062,адекватные,0.0007374676893875182,0.00044237266579298066,0.5998536236351997,0.0007762096114809251,1.0525337213425348,0.00017162075152356933,0.0011512170226380112
